City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Sakakah,SA,2022-05-07 20:26:45,29.9697,40.2064,65.77,22,1,3.69
102,Bathsheba,BB,2022-05-07 20:26:46,13.2167,-59.5167,83.01,74,40,10.36
103,Katsuura,JP,2022-05-07 20:26:46,35.1333,140.3,62.13,92,18,5.79
104,Khatanga,RU,2022-05-07 20:26:47,71.9667,102.5,-8.99,100,98,6.29
105,Richards Bay,ZA,2022-05-07 20:26:47,-28.783,32.0377,67.8,91,15,3.58
106,Peniche,PT,2022-05-07 20:26:48,39.3558,-9.3811,64.11,77,99,8.93
107,Bambous Virieux,MU,2022-05-07 20:26:49,-20.3428,57.7575,77.22,83,40,8.05
108,Penzance,GB,2022-05-07 20:26:49,50.1186,-5.5371,52.48,91,100,8.72
109,Mercedes,AR,2022-05-07 20:26:50,-34.6515,-59.4307,73.85,45,42,8.48
110,Batagay,RU,2022-05-07 20:26:48,67.6333,134.6333,13.62,86,82,2.53
111,Ribeira Grande,PT,2022-05-07 20:26:50,38.5167,-28.7,63.0,63,20,6.91
112,Saldanha,ZA,2022-05-07 20:26:51,-33.0117,17.9442,53.65,70,0,20.96
113,Halacho,MX,2022-05-07 20:26:51,20.4833,-90.0833,106.81,23,3,4.0
114,Warmbad,NA,2022-05-07 20:26:52,-28.45,18.7333,51.64,61,0,12.73
115,Pine Bluff,US,2022-05-07 20:26:52,34.2284,-92.0032,79.32,61,0,6.67
116,Urucara,BR,2022-05-07 20:26:53,-2.5364,-57.76,83.23,81,78,1.61
117,Amapa,BR,2022-05-07 20:26:53,1.0,-52.0,75.24,98,100,3.4
118,Pacific Grove,US,2022-05-07 20:26:54,36.6177,-121.9166,72.55,72,40,16.11
119,Thaba-Tseka,LS,2022-05-07 20:26:54,-29.522,28.6084,46.2,61,22,5.99
120,Mansehra,PK,2022-05-07 20:26:55,34.3333,73.2,69.69,35,0,5.75
121,Georgetown,MY,2022-05-07 20:26:55,5.4112,100.3354,85.95,92,20,8.05
122,Hailar,CN,2022-05-07 20:26:56,49.2,119.7,41.67,31,6,5.86
123,Dikson,RU,2022-05-07 20:26:56,73.5069,80.5464,7.03,96,100,8.68
124,Quthing,LS,2022-05-07 20:26:57,-30.4,27.7003,53.51,57,70,2.53
125,Nyimba,ZM,2022-05-07 20:26:58,-14.5566,30.8149,67.95,73,17,3.42
126,Nishihara,JP,2022-05-07 20:26:58,26.1842,127.7558,75.25,97,100,11.5
127,Dores Do Indaia,BR,2022-05-07 20:26:59,-19.4633,-45.6017,76.98,52,92,4.88
128,Thinadhoo,MV,2022-05-07 20:26:59,0.5333,72.9333,84.0,77,66,16.2
129,Lebu,CL,2022-05-07 20:27:00,-37.6167,-73.65,57.99,75,6,6.53
130,Saint George,US,2022-05-07 20:22:36,37.1041,-113.5841,90.79,15,0,21.85
131,Castro,BR,2022-05-07 20:27:01,-24.7911,-50.0119,61.41,65,72,3.36
132,Belaya Gora,RU,2022-05-07 20:27:01,68.5333,146.4167,18.23,91,100,11.45
133,Airai,TL,2022-05-07 20:27:02,-8.9266,125.4092,60.26,96,53,4.72
134,Pundaguitan,PH,2022-05-07 20:25:33,6.3711,126.1689,81.09,82,100,14.5
135,Tizapan El Alto,MX,2022-05-07 20:28:03,20.1667,-103.0667,91.45,21,2,4.38
136,Abha,SA,2022-05-07 20:28:03,18.2164,42.5053,64.65,72,0,4.61
137,Argelia,CO,2022-05-07 20:28:04,2.2556,-77.2488,75.4,83,43,1.28
138,Iqaluit,CA,2022-05-07 20:28:04,63.7506,-68.5145,29.93,46,75,12.66
139,Gat,IL,2022-05-07 20:28:05,31.61,34.7642,63.39,100,47,4.63
