City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Labuhan,ID,-6.8844,112.2051,77.58,86,79,6.87,broken clouds
135,Jablah,SY,35.3614,35.9256,62.89,88,40,3.44,scattered clouds
136,Jamestown,US,42.097,-79.2353,61.52,72,57,5.01,broken clouds
137,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,9.22,broken clouds
138,Marsh Harbour,BS,26.5412,-77.0636,73.99,76,100,11.7,overcast clouds
139,Acari,PE,-15.4311,-74.6158,70.14,67,54,3.71,broken clouds
140,Nome,US,64.5011,-165.4064,43.16,52,65,7.74,broken clouds
141,Sarkand,KZ,45.41,79.9186,56.35,52,38,5.53,scattered clouds
142,Lagoa,PT,39.05,-27.9833,57.25,60,8,27.65,clear sky
143,Banda Aceh,ID,5.5577,95.3222,80.31,82,99,11.86,overcast clouds
144,Longyearbyen,SJ,78.2186,15.6401,28.24,93,75,2.3,light rain and snow
145,Kavieng,PG,-2.5744,150.7967,83.14,70,25,7.49,scattered clouds
146,Ancud,CL,-41.8697,-73.8203,47.28,71,17,7.49,few clouds
147,Ayan,RU,56.45,138.1667,33.3,91,100,6.46,overcast clouds
148,Hasaki,JP,35.7333,140.8333,61.29,86,100,17.85,overcast clouds
149,Half Moon Bay,US,37.4636,-122.4286,73.89,75,100,27.63,mist
150,Lorengau,PG,-2.0226,147.2712,83.91,68,53,7.9,broken clouds
151,Luanda,AO,-8.8368,13.2343,74.84,92,5,8.43,clear sky
152,Port Hardy,CA,50.6996,-127.4199,50.18,66,75,12.66,light intensity shower rain
153,Bathsheba,BB,13.2167,-59.5167,80.1,81,19,14.85,few clouds
154,Narsaq,GL,60.9167,-46.05,50.22,66,100,1.45,overcast clouds
155,Grand-Santi,GF,4.25,-54.3833,75.2,99,100,2.68,moderate rain
156,Coaraci,BR,-14.6408,-39.5511,69.37,98,55,1.34,broken clouds
157,Esperance,AU,-33.8667,121.9,55.09,70,0,13.11,clear sky
158,Ossora,RU,59.2353,163.0719,33.64,100,100,0.98,snow
159,Rawson,AR,-43.3002,-65.1023,48.67,73,0,9.4,clear sky
160,Barcelos,PT,41.5388,-8.6151,64.54,91,50,8.81,scattered clouds
161,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.2,83,0,3.44,light rain
162,Puerto Ayora,EC,-0.7393,-90.3518,82.36,93,91,1.01,overcast clouds
163,Najran,SA,17.4924,44.1277,69.48,9,7,2.39,clear sky
164,High Level,CA,58.5169,-117.136,58.86,47,100,11.86,overcast clouds
165,Daru,PG,-9.0763,143.2092,80.35,80,99,8.1,overcast clouds
166,Rock Springs,US,41.5875,-109.2029,69.24,26,40,36.82,scattered clouds
167,Eregli,TR,37.5133,34.0467,58.57,56,1,1.43,clear sky
168,Matay,EG,28.419,30.7792,72.36,38,100,13.42,overcast clouds
169,Lajosmizse,HU,47.0213,19.5617,65.55,68,0,0.0,clear sky
170,Goderich,CA,43.7501,-81.7165,49.53,83,65,8.75,broken clouds
171,Codrington,AU,-38.2667,141.9667,50.07,82,100,10.02,overcast clouds
172,Kuytun,RU,54.3419,101.5036,55.58,74,60,7.25,broken clouds
173,Port Elizabeth,ZA,-33.918,25.5701,65.1,77,0,3.44,clear sky
174,Hithadhoo,MV,-0.6,73.0833,84.02,71,95,18.43,overcast clouds
175,Guhagar,IN,17.4842,73.1929,82.06,81,88,7.07,overcast clouds
176,Saquena,PE,-4.6667,-73.5167,75.15,97,93,1.07,overcast clouds
177,San Luis,AR,-33.295,-66.3356,43.52,35,0,9.95,clear sky
178,Katherine,AU,-14.4667,132.2667,73.72,64,0,5.75,clear sky
179,Tigil,RU,57.8,158.6667,41.61,87,100,5.46,overcast clouds
180,Srednekolymsk,RU,67.45,153.6833,41.43,83,78,3.29,broken clouds
181,Pacifica,US,37.6138,-122.4869,72.28,80,75,31.07,mist
182,Airai,TL,-8.9266,125.4092,61.43,72,11,2.51,few clouds
183,Saint Anthony,US,45.0205,-93.218,70.09,34,75,13.8,broken clouds
