City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
85,Bucerias,MX,82.08,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
91,Butaritari,KI,82.81,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
97,Gazojak,TM,77.38,scattered clouds,41.1875,61.4036,
98,Bilma,NE,81.81,clear sky,18.6853,12.9164,Expeditions Ténére voyages
101,Veraval,IN,83.23,few clouds,20.9,70.3667,Lords Inn Somnath
107,Basudebpur,IN,82.74,broken clouds,21.1353,86.7386,"Teli Sahi Chhak,Basathi"
111,Piacabucu,BR,77.94,broken clouds,-10.4056,-36.4344,Piaçabuçu News
112,Alofi,NU,78.69,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
117,Biak,ID,78.17,overcast clouds,-0.9131,122.8766,Penginapan Kim
121,Cockburn Town,TC,79.36,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
122,Port Blair,IN,78.84,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
132,Plaridel,PH,80.11,overcast clouds,14.8872,120.8572,St. Agatha Resort
134,Labuhan,ID,77.58,broken clouds,-6.8844,112.2051,DoubleFAG
143,Banda Aceh,ID,80.31,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
145,Kavieng,PG,83.14,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
150,Lorengau,PG,83.91,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
153,Bathsheba,BB,80.1,few clouds,13.2167,-59.5167,Atlantis Hotel
155,Grand-Santi,GF,75.2,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
161,Sao Gabriel Da Cachoeira,BR,82.2,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
162,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
165,Daru,PG,80.35,overcast clouds,-9.0763,143.2092,Daru Lodge
